Datetime,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-26 09:30:00-04:00,211.44000244140625,211.7899932861328,211.1199951171875,211.4499969482422,2491687,0.0,0.0
2024-06-26 09:31:00-04:00,211.42999267578125,211.60000610351562,210.88999938964844,211.36500549316406,340909,0.0,0.0
2024-06-26 09:32:00-04:00,211.35499572753906,212.05999755859375,211.10000610351562,211.7895965576172,528196,0.0,0.0
2024-06-26 09:33:00-04:00,211.75999450683594,212.27000427246094,211.67999267578125,212.13999938964844,455897,0.0,0.0
2024-06-26 09:34:00-04:00,212.13999938964844,212.2899932861328,211.97999572753906,212.10000610351562,367935,0.0,0.0
2024-06-26 09:35:00-04:00,212.08999633789062,212.17999267578125,211.89199829101562,211.95989990234375,291413,0.0,0.0
2024-06-26 09:36:00-04:00,211.94020080566406,212.39999389648438,211.80999755859375,212.22799682617188,450714,0.0,0.0
2024-06-26 09:37:00-04:00,212.22999572753906,212.24000549316406,211.57000732421875,211.8000030517578,269678,0.0,0.0
2024-06-26 09:38:00-04:00,211.78500366210938,211.9199981689453,211.64999389648438,211.8300018310547,179396,0.0,0.0
2024-06-26 09:39:00-04:00,211.8347930908203,211.86000061035156,211.22999572753906,211.327392578125,273780,0.0,0.0
2024-06-26 09:40:00-04:00,211.30999755859375,211.32000732421875,210.9199981689453,211.08999633789062,246987,0.0,0.0
2024-06-26 09:41:00-04:00,211.11990356445312,211.16000366210938,210.9499969482422,210.9799041748047,178851,0.0,0.0
2024-06-26 09:42:00-04:00,210.97279357910156,210.99000549316406,210.6999969482422,210.75010681152344,265089,0.0,0.0
2024-06-26 09:43:00-04:00,210.76199340820312,210.97999572753906,210.63999938964844,210.90499877929688,173587,0.0,0.0
2024-06-26 09:44:00-04:00,210.88999938964844,210.99000549316406,210.75,210.9698944091797,187982,0.0,0.0
2024-06-26 09:45:00-04:00,210.95140075683594,211.1300048828125,210.89999389648438,211.10980224609375,178837,0.0,0.0
2024-06-26 09:46:00-04:00,211.08999633789062,211.30999755859375,211.0500030517578,211.13999938964844,247044,0.0,0.0
2024-06-26 09:47:00-04:00,211.14999389648438,211.47999572753906,211.14999389648438,211.47000122070312,217781,0.0,0.0
2024-06-26 09:48:00-04:00,211.4600067138672,211.72000122070312,211.3800048828125,211.67999267578125,237346,0.0,0.0
2024-06-26 09:49:00-04:00,211.67999267578125,211.85499572753906,211.6199951171875,211.8000030517578,271238,0.0,0.0
2024-06-26 09:50:00-04:00,211.7989959716797,211.88999938964844,211.77999877929688,211.82589721679688,220987,0.0,0.0
2024-06-26 09:51:00-04:00,211.8249969482422,211.8780059814453,211.64010620117188,211.80499267578125,212581,0.0,0.0
2024-06-26 09:52:00-04:00,211.8419952392578,211.92999267578125,211.6999969482422,211.92999267578125,195995,0.0,0.0
2024-06-26 09:53:00-04:00,211.9199981689453,211.92999267578125,211.36000061035156,211.3979949951172,214873,0.0,0.0
2024-06-26 09:54:00-04:00,211.39999389648438,211.41000366210938,211.08999633789062,211.17999267578125,166544,0.0,0.0
2024-06-26 09:55:00-04:00,211.1699981689453,211.22000122070312,211.02000427246094,211.22000122070312,116667,0.0,0.0
2024-06-26 09:56:00-04:00,211.22000122070312,211.67999267578125,211.2100067138672,211.67999267578125,167523,0.0,0.0
2024-06-26 09:57:00-04:00,211.66000366210938,211.69000244140625,211.60000610351562,211.6300048828125,132201,0.0,0.0
